WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",05/23/2025 14:50,IMPROPER LANE USAGE,NOT APPLICABLE,1651,N,WESTERN AVE,1434,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,6,5,2,0,13,6,5
CLEAR,DAYLIGHT,PEDESTRIAN,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,,"OVER $1,500",05/23/2025 8:55,UNABLE TO DETERMINE,UNABLE TO DETERMINE,60,E,MONROE ST,112,,,,,,,2,INCAPACITATING INJURY,1,0,1,0,0,1,0,8,6,5,1,0,8,6,5
CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",09/08/2024 4:03,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1540,N,LAKE SHORE DR SB,1824,,,,,,,5,NO INDICATION OF INJURY,0,0,0,0,0,5,0,3,1,9,5,0,3,1,9
CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/08/2024 11:25,UNABLE TO DETERMINE,UNABLE TO DETERMINE,353,N,CLARK ST,1831,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,7,10,2,0,22,7,10
CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/04/2024 11:12,FOLLOWING TOO CLOSELY,NOT APPLICABLE,41,E,IDA B WELLS DR,123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,2,11,2,0,9,2,11
CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",01/14/2025 11:34,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8500,S,PULASKI RD,834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,11,3,1,3,0,11,3,1
CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",01/15/2025 18:00,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,3125,S,ASHLAND AVE,912,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,3,1,2,0,7,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,04/05/2025 21:56,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4800,W,GRAND AVE,2533,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,21,7,4,5,0,21,7,4
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",05/29/2025 18:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,10007,S,MICHIGAN AVE,511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,6,5,2,0,8,6,5
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",05/23/2025 17:20,UNABLE TO DETERMINE,NOT APPLICABLE,1482,E,HYDE PARK BLVD,222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,6,5,2,0,16,6,5
UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/22/2025 19:13,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2927,W,FULTON ST,1222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,3,1,1,0,21,3,1
CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",09/07/2024 13:28,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER OVERTAKING/PASSING,4878,N,LINCOLN AVE,2031,,,,Y,CONSTRUCTION,,2,INCAPACITATING INJURY,1,0,1,0,0,1,0,13,7,9,1,0,13,7,9
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,Y,"OVER $1,500",01/08/2025 16:20,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6130,S,WOLCOTT AVE,714,Y,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,15,3,1,1,0,15,3,1
SNOW,DAYLIGHT,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/15/2025 10:47,WEATHER,NOT APPLICABLE,33,E,IDA B WELLS DR,123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,14,3,1,3,0,14,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/14/2025 22:21,UNABLE TO DETERMINE,NOT APPLICABLE,2249,W,47TH PL,931,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,22,3,1,1,0,22,3,1
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",05/23/2025 14:00,UNABLE TO DETERMINE,NOT APPLICABLE,1220,S,UNION AVE,1232,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,6,5,2,0,13,6,5
CLOUDY/OVERCAST,UNKNOWN,REAR END,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 18:20,UNABLE TO DETERMINE,NOT APPLICABLE,1558,E,53RD ST,234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,3,1,3,0,16,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 19:20,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1060,W,DIVISION ST,1822,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,3,1,2,0,17,3,1
CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,05/23/2025 10:37,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,825,W,NORTH AVE,1822,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,6,5,2,0,10,6,5
SNOW,DAYLIGHT,TURNING,FOUR WAY,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",01/14/2025 13:34,DISREGARDING STOP SIGN,NOT APPLICABLE,2600,S,SACRAMENTO AVE,1033,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,13,3,1,3,0,13,3,1
CLEAR,DAYLIGHT,REAR TO SIDE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",05/23/2025 17:11,IMPROPER BACKING,NOT APPLICABLE,5074,S,SPAULDING AVE,821,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,6,5,2,0,16,6,5
CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",04/06/2025 12:35,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,3343,W,BERTEAU AVE,1724,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,7,4,1,0,21,7,4
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",05/23/2025 16:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6347,N,MILWAUKEE AVE,1611,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,14,6,5,1,0,14,6,5
RAIN,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",08/27/2024 19:43,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,1400,N,LAKE SHORE DR,1824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,3,8,2,0,19,3,8
CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT ON HILLCREST,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/16/2024 20:51,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,10200,W,BALMORAL AVE,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,7,11,2,0,20,7,11
CLEAR,DAYLIGHT,REAR TO SIDE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/27/2024 12:00,IMPROPER BACKING,NOT APPLICABLE,675,N,ST CLAIR ST,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,2,8,2,0,11,2,8
UNKNOWN,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/14/2025 15:51,UNABLE TO DETERMINE,NOT APPLICABLE,38,N,CALIFORNIA AVE,1222,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,3,1,2,0,13,3,1
CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",02/09/2025 16:00,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1210,N,PULASKI RD,2534,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,18,7,2,2,0,18,7,2
CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",04/05/2025 20:44,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,3500,S,LA SALLE ST,213,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,20,7,4,1,0,20,7,4
CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/18/2024 17:15,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,517,W,OHARE ST,1654,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,5,4,2,0,17,5,4
CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",01/14/2025 18:19,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,2357,S,CALIFORNIA AVE,1034,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,3,1,3,0,18,3,1
CLEAR,DUSK,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",08/28/2024 20:30,IMPROPER LANE USAGE,UNABLE TO DETERMINE,7845,S,STONY ISLAND AVE,411,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,4,8,2,0,18,4,8
CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",12/04/2024 7:45,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,3437,W,HURON ST,1121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,4,12,1,0,7,4,12
RAIN,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/04/2024 5:12,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,1777,W,PETERSON AVE,2012,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,2,11,2,0,5,2,11
CLEAR,DAYLIGHT,PEDESTRIAN,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,05/23/2025 17:11,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3202,W,IRVING PARK RD,1724,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,6,5,2,0,17,6,5
